sample_name,time,treatment,rep,sample_ID,,resp_basal,resp_induc,cfu_actino,cfu_bact,cfu_fungi,colonisation,spore_amf,org.matter,phosphorus,calcium ,magnesium ,sodium,potassium,ph.water,pH.chloride,conductivity,nitrogen
S001,T0,control,A,S001_T0_control_A,,16.98882513,83.43091335,83500,2080000,60500,,,2.4841,31.5,140,60.9,20.9,13.4,8.1,7,0.25,0.11
S002,T0,control,B,S002_T0_control_B,,7.54527163,100.1908397,25500,5250000,99000,,,2.4511,32.1,135,53.5,18.3,11.5,8.08,6.96,0.23,0.11
S003,T0,control,C,S003_T0_control_C,,11.53451811,110.0127551,11000,4800000,89500,,,2.32,22.7,135,55.1,17.4,9,7.99,6.97,0.26,0.12
S004,T0,control_amf,A,S004_T0_control_amf_A,,14.53921861,70.09345794,70500,5150000,90500,,,2.359,28.9,131,53.5,17,9,8.15,6.88,0.24,0.12
S005,T0,control_amf,B,S005_T0_control_amf_B,,15.37369915,90.79903148,38000,5600000,96000,,,2.427,27.5,148,58.4,18.7,10.9,8.04,6.99,0.28,0.1
S006,T0,control_amf,C,S006_T0_control_amf_C,,11.95790816,81.91747573,12500,1450000,65000,,,2.341,20.2,130,54.3,17.4,7.7,8.18,7.02,0.24,0.11
S007,T0,chicken,A,S007_T0_chicken_A,,22.97645921,128.6764706,350000,49000000,112000,,,3.61,53.1,191,58.4,18.1,19.2,7.27,6.8,1.41,0.17
S008,T0,chicken,B,S008_T0_chicken_B,,21.23977344,229.1147132,2380000,14000000,127000,,,3.719,47.9,213,63.4,19.1,24.3,7.12,6.79,1.72,0.2
S009,T0,chicken,C,S009_T0_chicken_C,,24.00606469,244.3609023,840000,10100000,190000,,,3.367,58.6,182,56.8,17,20.5,7.51,6.99,1.08,0.18
S010,T0,cow,A,S010_T0_cow_A,,22.51896334,128.6764706,595000,5450000,85500,,,3.924,60.8,168,74.9,19.8,26.2,7.99,7.25,0.52,0.2
S011,T0,cow,B,S011_T0_cow_B,,27.17391304,225.6016043,58500,6250000,125500,,,4.089,120.8,170,74.1,20.2,25.6,8.06,7.32,0.5,0.21
S012,T0,cow,C,S012_T0_cow_C,,22.63581489,197.1153846,385000,4300000,98000,,,4.172,124,168,68.3,18.3,21.7,8.07,7.33,0.48,0.21
S013,T0,pellet,A,S013_T0_pellet_A,,20.91726061,81.3253012,119000,2500000,93500,,,2.554,68.5,119,56,18.5,12.8,8.03,7.18,0.45,0.15
S014,T0,pellet,B,S014_T0_pellet_B,,23.34534731,69.27339901,38000,4750000,92000,,,2.758,66.3,144,52.7,21.5,18.5,7.98,7.23,0.55,0.15
S015,T0,pellet,C,S015_T0_pellet_C,,24.17712928,105.7692308,72500,2800000,94000,,,2.75,66.6,143,56.8,20.7,20.5,7.97,7.21,0.53,0.14
S016,T0,compost,A,S016_T0_compost_A,,27.43902439,119.047619,950000,5050000,103500,,,5.281,71.2,171,60.1,20.2,13.4,7.98,7,0.43,0.2
S017,T0,compost,B,S017_T0_compost_B,,19.61425302,134.9614396,935000,7600000,113500,,,5.37,68,182,69.9,19.6,17.3,7.82,6.96,0.47,0.18
S018,T0,compost,C,S018_T0_compost_C,,17.48251748,116.2790698,725000,1320000,144500,,,5,72.6,176,64.2,20.9,15.3,7.91,7.01,0.45,0.2
S019,T0,control_legumes,A,S019_T0_control_legumes_A,,13.50540216,47.74305556,83000,5000000,108000,,,2.15,58.7,136,51.8,17.8,9.5,8.08,7.02,0.28,0.11
S020,T0,control_legumes,B,S020_T0_control_legumes_B,,11.5455665,97.5177305,52000,7450000,127000,,,2.144,65.9,142,55.1,20.2,11.8,8.09,6.93,0.26,0.12
S021,T0,control_legumes,C,S021_T0_control_legumes_C,,11.87836554,72.63922518,18000,1910000,81000,,,2.076,74.3,142,60.1,19.6,10.5,8.2,7.01,0.25,0.12
S022,T1,control,A,S022_T1_control_A,,10.60820368,27.84653465,65000,570000,103500,,,,,,,,,,,,
S023,T1,control,B,S023_T1_control_B,,13.1302521,36.76470588,46500,5050000,117500,,,,,,,,,,,,
S024,T1,control,C,S024_T1_control_C,,11.87543983,46.18226601,83500,665000,135500,,,,,,,,,,,,
S025,T1,control_amf,A,S025_T1_control_amf_A,,11.9047619,37.03703704,49500,380000,109000,,,,,,,,,,,,
S026,T1,control_amf,B,S026_T1_control_amf_B,,16.66097061,44.85645933,53500,8800000,104000,,,,,,,,,,,,
S027,T1,control_amf,C,S027_T1_control_amf_C,,15.67944251,36.58536585,45500,740000,108000,,,,,,,,,,,,
S028,T1,chicken,A,S028_T1_chicken_A,,18.61042184,186.0313316,44500,11300000,191500,,,,,,,,,,,,
S029,T1,chicken,B,S029_T1_chicken_B,,21.69981917,208.8607595,1400000,12400000,150000,,,,,,,,,,,,
S030,T1,chicken,C,S030_T1_chicken_C,,24.2893127,255.0377834,945000,7350000,141500,,,,,,,,,,,,
S031,T1,cow,A,S031_T1_cow_A,,27.97463633,186.0313316,51500,2745000,132500,,,,,,,,,,,,
S032,T1,cow,B,S032_T1_cow_B,,20.44711014,181.2977099,540000,5450000,132000,,,,,,,,,,,,
S033,T1,cow,C,S033_T1_cow_C,,32.46753247,170.4545455,870000,2190000,145000,,,,,,,,,,,,
S034,T1,pellet,A,S034_T1_pellet_A,,20.08928571,56.25,69800,720000,139500,,,,,,,,,,,,
S035,T1,pellet,B,S035_T1_pellet_B,,27.26281352,66.79389313,90500,6250000,136500,,,,,,,,,,,,
S036,T1,pellet,C,S036_T1_pellet_C,,29.2449486,74.44168734,49000,1070000,131500,,,,,,,,,,,,
S037,T1,compost,A,S037_T1_compost_A,,33.15063649,92.82178218,260000,835000,177000,,,,,,,,,,,,
S038,T1,compost,B,S038_T1_compost_B,,20.39521392,85.65989848,800000,4850000,167500,,,,,,,,,,,,
S039,T1,compost,C,S039_T1_compost_C,,28.69897959,76.53061224,520000,1190000,171000,,,,,,,,,,,,
