#OTU ID	ExtrCTRL	NTC	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126
ZOTU250	5	6	192	103	115	360	139	98	37	117	43	135	195	90	111	60	72	49	69	102	320	255	190	270	354	237	266	116	325	70	451	119	147	136	142	261	268	426	285	411	112	300	266	187	98	574	633	406	253	489	216	236	106	102	114	164	443	593	529	295	419	742	410	554	236	769	449	548	1508	434	294	577	496	302	140	168	475	586	418	759	327	353	185	64	72	44	227	57	262	193	74	221	190	534	190	450	601	316	569	1061	809	285	245	685	590	328	1947	376	498	563	378	365	517	716	755	1080	1076	1337	720	408	1703	924	250	525	700	39	243	227
ZOTU9	31	16	523	460	559	214	616	719	100	126	86	482	349	340	419	55	272	123	241	305	665	603	1038	416	389	566	524	876	615	145	193	243	614	774	250	691	423	520	847	249	278	1162	897	1006	383	1913	1117	1032	808	1490	85	240	115	167	306	374	265	567	454	730	647	1582	520	1881	385	1068	636	576	2301	832	1854	508	308	76	402	644	760	237	483	232	1316	677	397	535	594	387	1266	1078	1004	858	286	697	335	305	224	1495	981	850	827	1208	1755	422	267	1678	10090	1877	2497	361	1876	1230	511	678	539	247	242	126	377	1293	502	474	509	127	1143	817	1484	337	1189	2399
ZOTU345	5	2	45	50	87	122	155	84	4	4	2	312	87	7	57	3	8	35	27	22	86	163	79	347	16	71	83	180	139	3	2	1	85	16	1	62	86	102	1	3	2	107	282	161	3	107	181	252	373	246	1	2	12	0	5	53	0	230	7	157	292	3	104	151	105	55	72	325	0	335	242	64	17	1	89	86	3	237	34	176	685	376	110	40	16	23	82	52	142	114	76	80	1	45	42	57	7	96	95	70	87	466	260	219	756	92	39	439	171	83	159	122	257	4	70	66	4	310	286	9	4	431	430	33	108	778	357	86
ZOTU65	63	2	2	4	0	0	0	0	0	0	7	2	0	0	1	1	1	0	5	5	0	3	2	1	3	0	13	11	1	0	1	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	55	42	0	0	0	0	0	1	0	0	0	0	0	26	0	0	0	0	0	0	0	0	12	0	27	65	0	1	0	0	0	0	172	74	158	98	13	12	1	0	40	131	62	471	167	86	239	0	40	80	251	562	573	353	70	0	966	602	1058	1520	1175	889
ZOTU54	13	2	41	123	10	0	42	139	17	35	7	72	22	0	11	3	6	7	38	1	0	99	7	3	2	1	9	4	4	0	78	2	646	6	2	1	0	0	0	1	0	92	5	165	1	7	1	0	4	1	0	0	0	0	1	0	0	0	4	0	0	1	15	2	54	90	12	194	0	1	661	100	2	4	10	4	123	0	7	33	157	439	37	13	3	30	1021	136	190	820	2409	97	23	0	14	403	7	25	16	1087	513	1783	1876	212	4109	793	61	7	8	6	3	5	886	5	1	1	0	1	5	2	13	1	1	6	148	1	2	196
ZOTU1138	28	34	3563	3854	3501	2907	3894	4309	335	273	438	1346	2184	845	3747	3084	1659	2207	1603	1672	2305	4962	5515	4632	3605	3011	3960	3358	1408	294	574	768	2094	921	1350	5347	4239	1944	2185	3253	3163	2791	2289	2832	1876	4694	4834	4807	2683	3535	140	551	273	2218	1136	1992	2231	1767	668	2496	2872	9717	1466	2798	944	3831	3211	3112	5202	4101	4626	124	447	535	1235	1981	1992	1727	1772	2016	1231	1421	1013	321	218	435	3798	6335	2778	2484	488	891	33	140	167	2070	1566	822	5495	5487	4722	2251	2823	6971	3090	3157	2497	4751	2455	2591	6155	3820	2940	270	309	154	1260	2883	3349	4629	4554	5808	5028	4849	3205	1457	2289	1759
ZOTU28	3	0	236	142	24	99	14	32	5	2	10	1	14	0	1	23	2	2	22	15	87	35	24	4	19	154	194	101	138	1	28	16	19	1	57	251	312	2	1	1	2	18	106	90	3	302	35	160	110	174	1	27	12	0	0	12	2	135	8	97	23	479	683	164	5	48	14	104	1	65	34	0	0	1	1	2	1	5	107	415	91	33	4	31	6	7	4	85	242	100	6	9	0	47	26	68	1	6	253	72	180	41	2	373	5	0	46	38	1	0	126	184	19	23	1	2	50	1	0	333	1818	0	1	168	0	1	1	36
ZOTU237	20	43	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	1	2	2	5	3	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	31	0	0	0	0	0	0	0	0	0	23	0	0	1	1	0	5	96	0	6	192	107	161	13	168	4	7	14	10	10329	2107	6596	1304	7	429	2048	1299	1010
ZOTU633	9	14	0	1	1	0	2	0	0	0	3	1	0	0	2	1	1	0	3	4	0	0	2	1	1	3	2	3	0	1	2	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	86	259	49	112	94	80	0	0	0	0	0	0	31	373	122	200	122	689	71	2	32	2271	756	1197	474	1346	555	6	7	15	11	559	477	6299	5567	6442	4066	2310	2407	2786	793	1646
ZOTU861	1	0	1	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	33	0	0	0	0	1	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
